position_id,position_type,category,principal,current_rate,repricing_date,maturity_date
1,ASSET,GOVT_BOND,2219598,4.13,2038-11-13,2038-11-13
2,ASSET,CASH_RESERVES,219887,3.1,2026-09-16,2026-09-16
3,ASSET,VARIABLE_LOAN,828819,4.69,2027-01-22,2032-06-20
4,LIABILITY,ISSUED_BOND,4257771,3.46,2031-09-02,2031-09-02
5,LIABILITY,TERM_DEPOSIT,2266288,3.38,2027-01-12,2027-01-12
6,LIABILITY,TERM_DEPOSIT,4396304,5.04,2027-01-29,2027-01-29
7,ASSET,GOVT_BOND,1869270,3.56,2041-03-13,2041-03-13
8,LIABILITY,TERM_DEPOSIT,4491667,5.31,2026-12-02,2026-12-02
9,LIABILITY,DEMAND_DEPOSIT,3189457,5.63,2026-09-03,2026-09-03
10,LIABILITY,DEMAND_DEPOSIT,1972906,6.03,2026-08-30,2026-08-30
11,ASSET,GOVT_BOND,4276353,5.5,2036-11-19,2036-11-19
12,LIABILITY,TERM_DEPOSIT,2937741,5.91,2027-08-05,2027-08-05
13,ASSET,CASH_RESERVES,1405721,3.13,2026-09-03,2026-09-03
14,LIABILITY,ISSUED_BOND,1743035,6.51,2030-06-22,2030-06-22
15,LIABILITY,DEMAND_DEPOSIT,2621312,3.12,2026-08-26,2026-08-26
16,LIABILITY,ISSUED_BOND,1100819,2.7,2034-01-20,2034-01-20
17,ASSET,CASH_RESERVES,813499,3.54,2026-09-04,2026-09-04
18,ASSET,GOVT_BOND,1816936,4.4,2031-11-21,2031-11-21
19,ASSET,FIXED_MORTGAGE,1966339,2.58,2050-03-30,2050-03-30
20,LIABILITY,DEMAND_DEPOSIT,700710,3.94,2026-08-20,2026-08-20
21,LIABILITY,TERM_DEPOSIT,106227,7.26,2026-12-13,2026-12-13
22,ASSET,GOVT_BOND,4521651,2.82,2031-08-13,2031-08-13
23,LIABILITY,TERM_DEPOSIT,2860578,6.68,2027-07-16,2027-07-16
24,ASSET,VARIABLE_LOAN,1176678,5.12,2027-02-06,2031-01-03
25,LIABILITY,ISSUED_BOND,1079543,3.56,2033-10-30,2033-10-30
26,LIABILITY,DEMAND_DEPOSIT,2984845,4.34,2026-08-28,2026-08-28
27,LIABILITY,TERM_DEPOSIT,4967259,6.65,2027-01-05,2027-01-05
28,ASSET,CASH_RESERVES,629074,5.28,2026-08-20,2026-08-20
29,LIABILITY,TERM_DEPOSIT,2336737,5.42,2027-08-06,2027-08-06
30,LIABILITY,TERM_DEPOSIT,4726385,6.57,2026-12-11,2026-12-11
31,ASSET,GOVT_BOND,2377895,6.46,2033-04-22,2033-04-22
32,ASSET,CASH_RESERVES,4097949,5.93,2026-08-19,2026-08-19
33,LIABILITY,TERM_DEPOSIT,4481310,4.83,2027-02-20,2027-02-20
34,LIABILITY,DEMAND_DEPOSIT,2659223,6.03,2026-08-25,2026-08-25
