position_id,position_type,category,principal,current_rate,repricing_date,maturity_date
1,ASSET,GOVT_BOND,2219598,4.13,3/20/2023,10/13/2021
2,ASSET,CASH_RESERVES,219887,3.1,1/3/2036,1/3/2027
3,ASSET,VARIABLE_LOAN,828819,4.69,3/31/2020,4/14/2037
4,LIABILITY,ISSUED_BOND,4257771,3.46,12/27/2031,7/20/2018
5,LIABILITY,TERM_DEPOSIT,2266288,3.38,9/1/2028,11/10/2023
6,LIABILITY,TERM_DEPOSIT,4396304,5.04,10/27/2033,8/9/2021
7,ASSET,GOVT_BOND,1869270,3.56,3/7/2028,9/14/2021
8,LIABILITY,TERM_DEPOSIT,4491667,5.31,10/4/2026,4/5/2020
9,LIABILITY,DEMAND_DEPOSIT,3189457,5.63,5/16/2032,1/26/2020
10,LIABILITY,DEMAND_DEPOSIT,1972906,6.03,2/27/2029,4/27/2028
11,ASSET,GOVT_BOND,4276353,5.5,11/14/2021,12/22/2030
12,LIABILITY,TERM_DEPOSIT,2937741,5.91,5/20/2023,10/5/2017
13,ASSET,CASH_RESERVES,1405721,3.13,2/23/2018,12/6/2029
14,LIABILITY,ISSUED_BOND,1743035,6.51,12/18/2024,8/10/2020
15,LIABILITY,DEMAND_DEPOSIT,2621312,3.12,1/25/2026,1/4/2029
16,LIABILITY,ISSUED_BOND,1100819,2.7,5/25/2027,4/24/2029
17,ASSET,CASH_RESERVES,813499,3.54,2/2/2020,8/21/2036
18,ASSET,GOVT_BOND,1816936,4.4,5/11/2022,4/4/2021
19,ASSET,FIXED_MORTGAGE,1966339,2.58,4/9/2018,5/11/2018
20,LIABILITY,DEMAND_DEPOSIT,700710,3.94,3/29/2020,8/5/2021
21,LIABILITY,TERM_DEPOSIT,106227,7.26,12/16/2019,8/2/2018
22,ASSET,GOVT_BOND,4521651,2.82,11/11/2033,5/31/2026
23,LIABILITY,TERM_DEPOSIT,2860578,6.68,11/20/2036,10/29/2018
24,ASSET,VARIABLE_LOAN,1176678,5.12,3/27/2030,6/21/2019
25,LIABILITY,ISSUED_BOND,1079543,3.56,10/4/2028,10/2/2025
26,LIABILITY,DEMAND_DEPOSIT,2984845,4.34,7/19/2028,6/19/2019
27,LIABILITY,TERM_DEPOSIT,4967259,6.65,3/30/2029,3/29/2024
28,ASSET,CASH_RESERVES,629074,5.28,7/24/2018,6/11/2018
29,LIABILITY,TERM_DEPOSIT,2336737,5.42,12/5/2035,6/30/2023
30,LIABILITY,TERM_DEPOSIT,4726385,6.57,11/6/2023,4/1/2033
31,ASSET,GOVT_BOND,2377895,6.46,7/22/2032,1/7/2026
32,ASSET,CASH_RESERVES,4097949,5.93,10/11/2031,10/9/2020
33,LIABILITY,TERM_DEPOSIT,4481310,4.83,5/26/2037,1/31/2031
34,LIABILITY,DEMAND_DEPOSIT,2659223,6.03,5/21/2035,6/4/2025
35,ASSET,CASH_RESERVES,3652027,6.13,2/2/2028,2/3/2031
36,ASSET,CASH_RESERVES,1625667,3.28,8/25/2034,2/5/2019
37,LIABILITY,ISSUED_BOND,816341,2.59,1/13/2027,11/4/2022
38,ASSET,VARIABLE_LOAN,3344286,2.79,6/10/2024,10/1/2029
39,ASSET,FIXED_MORTGAGE,2076967,2.92,7/16/2020,1/6/2037
40,ASSET,VARIABLE_LOAN,3850978,2.69,6/8/2032,9/26/2022
41,ASSET,VARIABLE_LOAN,1149940,7.02,10/29/2028,3/27/2032
42,ASSET,GOVT_BOND,3915462,7.04,2/28/2036,10/30/2029
43,LIABILITY,DEMAND_DEPOSIT,4884423,2.9,7/14/2022,9/24/2029
44,LIABILITY,TERM_DEPOSIT,3975744,6.18,12/9/2022,2/16/2018
45,LIABILITY,DEMAND_DEPOSIT,3327217,4.06,4/1/2033,5/22/2024
46,LIABILITY,TERM_DEPOSIT,4824285,3.79,2/24/2034,11/9/2026
47,LIABILITY,ISSUED_BOND,257647,5.21,12/31/2017,7/17/2037
48,ASSET,FIXED_MORTGAGE,4357183,6.61,11/12/2021,7/27/2020
49,ASSET,VARIABLE_LOAN,4266986,4.75,6/26/2029,4/18/2037
50,ASSET,CASH_RESERVES,930880,6.28,8/5/2022,12/15/2027
51,LIABILITY,TERM_DEPOSIT,75376,4.38,12/5/2025,1/13/2035
52,ASSET,CASH_RESERVES,2144750,4.17,12/11/2034,12/22/2018
53,ASSET,GOVT_BOND,4657898,5.93,5/13/2022,1/7/2035
